,course_title,price,institution
166,Accounting Basics in 66 Minutes (absolutely for beginners),25,udemy
167,"Tax Accounting: Difficult Topic, Made Easy to Understand",200,udemy
168,Analysis of Company Financial Statements,20,udemy
169,Forex Trading Like Banks – Step by Step with Live Examples,195,udemy
170,Fundamentals of Investing!,20,udemy
171,Bank Financial Management A Comprehensive Study,50,udemy
172,Learn to Trade Forex and Stocks: From Beginner to Advanced,200,udemy
173,"Master 'Technical Analysis and Chart reading skills Bundle""",120,udemy
174,Naked Put Options Trade Covered Call & Poor Man Covered Call,200,udemy
175,The Ultimate Guide to Dividend & Dividend Growth Investing,200,udemy
176,Charting for Beginners 101: Technical Analysis Demystified,45,udemy
177,Build a DCF Valuation Model,50,udemy
178,Introductory Financial Accounting,80,udemy
179,Introduction to Cryptocurrencies and Blockchain,0,udemy
180,Trade Pullback Candlestick Strategy - Make Consistent Pips,200,udemy
181,Accounting Standards Basics (Professional Course Level),20,udemy
182,Use the Magic Multiple Moving Average Forex Trading system,50,udemy
183,QuickBooks 2015 Training for Newbies,200,udemy
184,TRADING PSYCHOLOGY: Trading Mindset Mastery,120,udemy
185,Option Trading: How to Adjust Delta-Neutral Strangles!,145,udemy
186,Profitable binary option trading strategy,195,udemy
187,Tax Strategy: Financial Planning for Beginners,200,udemy
188,Accounting 2 Simplified for You,45,udemy
189,Project Funding Modelling (for Professionals),20,udemy
190,Investing: How I Consistently Beat The Stock Market,200,udemy
191,Bookkeeping Basics:  Understand the Fundamentals,75,udemy
192,Leasing - A Comprehensive Study (Professional Course Level),20,udemy
193,Trading Options For Consistent Returns: Options Basics,0,udemy
194,TechniTrader Leading Hybrid Indicator Trading,20,udemy
195,Financial modeling: Build a DCF equity valuation model,20,udemy
196,CryptoArbitrager: Bitcoin Trading Robot (no mining),150,udemy
197,Accounting Is Easy (for Beginners),20,udemy
198,Non Directional Weekly Options Trading System - ETF & Emini,200,udemy
199,The Complete Position Trading Course: Position Trading Stock,45,udemy
200,Master Iron Condors - Double the credit for half the risk,60,udemy
201,Basics of investing in Mutual Funds,20,udemy
202,A Value Investing Approach to the Stock Market,20,udemy
203,Learn how to INVEST for huge profits or make it big trading!,50,udemy
204,"How to Fund your Million Dollar Idea: Equity, Debt, Unfund",50,udemy
205,Mastering Candlestick Charting : High Probability Trading,50,udemy
206,Binary Options Course - Level 2,0,udemy
207,Stock Technical Analysis with R,50,udemy
208,"Get to know the VIX Index (aka 'The Fear Index)""",60,udemy
209,Apply finance concepts for smart project management,0,udemy
210,Introduction to Futures Trading and Live Trade Demonstration,60,udemy
211,Crowdfunding to Win,40,udemy
212,Comprehensive Forex Mastery Program,45,udemy
213,Preparation of Consolidated Financial Statements (Basic),0,udemy
214,Succeed in Bonds Even if You Don't Know Where to Start,200,udemy
215,Learn to Trade for Profit: Ten Most Profitable Trading Rules,95,udemy
216,Succeed in Lotto Even if You Don't Know Where to Start!,20,udemy
217,CFA Corporate Finance Level 2,50,udemy
218,Pin Bars: The Most Powerful Forex Trading Signal,200,udemy
219,Stock Options Trades Using Interactive Brokers,95,udemy
220,Introduction to Options - Strategies For Consistent Profits,40,udemy
221,Risk in Forex Transactions - for CA / CS / CFA exams,20,udemy
222,Basics of Business Statistics (College Level),20,udemy
223,"Trading Seasonal Price Patterns in Stocks, Futures, & Forex!",200,udemy
224,Interpreting Financial Statements,20,udemy
225,Introduction to Bookkeeping (Accounting),20,udemy
226,CREDIT SPREAD SURGERY - Bear Call and Bull Put Mastery ,60,udemy
227,Investment Banking: How to Land a Job on Wall Street,75,udemy
228,Learn To Invest In Index Funds and ETFs In 7 Easy Steps,20,udemy
229,Financial modeling: Build a multiples valuation model,20,udemy
230,Trade Recap I - A Real Look at Futures Options Markets,20,udemy
231,Advanced Stock Options for Serious Equity Investors!,200,udemy
232,Trading Binary Options for Fun and Profit,20,udemy
233,CFA: Fast Track your career in Finance,20,udemy
234,How to be a Profitable Forex Trader,20,udemy
235,Excel Dashboard - Interactive Excel Dashboard and Charts,30,udemy
236,Accounting 101: Learn Business Finance Forecasting in 60mins,95,udemy
237,The Securities Trade Lifecycle,50,udemy
238,Double your Forex Account using the MAGIC MA trading robot,65,udemy
239,Technical Analysis 101: How to Profit During Market Crashes,95,udemy
240,Advanced Accounting for Investment Banking,50,udemy
241,Investing In Stocks With 10 Simple Rules,95,udemy
242,Venture Capital. What is it and Why it Matters to You!,50,udemy
243,Cash Flow Valuation: Develop Your Financial Literacy,105,udemy
244,Direction-Independ Trading - Elite Forex Traders  Strategy,120,udemy
245,How to Become a Financial Analyst from Scratch!,40,udemy
246,First Steps to Trading the Forexmarkets : Technical Analysis,35,udemy
247,Financial analysis: Compare performance of companies,20,udemy
248,Forex for Beginners: Easy Forex Trading for Beginners,0,udemy
249,Investment Crowdfunding 101 (a.k.a Equity Crowdfunding),0,udemy
250,Read financial statements like a pro,50,udemy
251,10 Numbers Every Business Owner Should Know,20,udemy
252,Learn How To Trade Gold In 2017,200,udemy
253,IAS 18 - Revenue,0,udemy
254,Forex Trading: The High ROI Forex Trading End of Day Course,125,udemy
255,Fundraise the Simplified Way: A Crowdfunding Blueprint,35,udemy
256,Fundamentals of Accounting for Business Owners,20,udemy
257,Practical Financial Statement Analysis,75,udemy
258,Forex Management - Detailed Study for CA / CS / CFA Exams,50,udemy
259,Financial Statement Review 101:  How to Find Errors,30,udemy
260,Professional Risk Manager (PRM) Certification: Level 1,50,udemy
261,International Tax  - Tax Beyond boundaries,100,udemy
262,The Complete Financial Statement Analysis Course,150,udemy
263,Advanced Excel functions,20,udemy
264,Penny Stocks Value & Chart Pattern Trading (2 Course Bundle),200,udemy
265,Candlestick Analysis For Professional Traders,95,udemy
266,Build A Career In Forex Trading- Learn Fundamental Analysis,200,udemy
267,Financial Modeling: Build a Complete DCF Valuation Model,95,udemy
268,Hands-on Financial Modeling (With 6 Excel Templates),30,udemy
269,CAIIB Advanced Bank Management (Part I),25,udemy
270,Stock Market investment:Non financial fundamental analysis,125,udemy
271,Learn How to Play CashFlow Game,35,udemy
272,Basics of Business Finance,30,udemy
273,Accounting Made Easy 2,50,udemy
274,"Bitcoin: el futuro del dinero, hoy",200,udemy
275,Aprende a invertir practicando,35,udemy
276,Trading con retrocesos de Fibonacci,25,udemy
277,Mit Finanzwissen zu besserem Unternehmertum,50,udemy
278,Como hacer empresa en 10 sesiones prácticas,20,udemy
279,المحاسبة للإداريين و غير المحاسبين,20,udemy
280,株式投資で本当のファンダメンタル分析ができるようになる,20,udemy
281,Curso de Trading práctico basado en casos reales,20,udemy
282,Curso Avanzado de Trading,125,udemy
283,สอนเทรดไบนารี่ อ๊อฟชั่นอย่างง่าย,0,udemy
284,MQL4 Tutorial Golden Goose,20,udemy
285,Análise de Concessão de Crédito,20,udemy
286,Technical Analysis Using Elliott Wave Theory,60,udemy
287,The Basics Of Volume Analysis,60,udemy
288,Crash Course on Cost of Capital and Capital Structuring,0,udemy
289,Business Accounting Made Easy,50,udemy
290,Build a DCF Model from Scratch,0,udemy
291,"Multiply your returns using 'Value Investing"",https://www.udemy.com/multiply-your-returns-using-value-investing/,true,20,1942,19,63,All Levels,4.5 hours,2015-07-23T00:08:33Z
874284,Weekly Forex Analysis by Baraq FX""",0,udemy
292,Technical Analysis - A practical approach for trade entry,60,udemy
293,Mastering Technical Analysis : Maximizing Trading Profits,60,udemy
294,The Complete Guide to Professional Trading with Elliott Wave,115,udemy
295,A Complete Guide to Becoming a Trader on the Forex Market,25,udemy
296,Stock Market for Beginners - Complete Starter Toolkit,120,udemy
297,Beginners Binary Options Course,0,udemy
298,Technical Analysis 101: Secrets of Trading Revealed,150,udemy
299,Forex: What's a Trend and When it is Strong and Reliable,0,udemy
300,Volatility Trading Analysis with R,50,udemy
301,How To Profit From Stock Market Volatility,0,udemy
302,Awaken the Accountant in You | Master the Accounting Basics,35,udemy
303,WE WILL PAY YOU TO TRADE WITH US,20,udemy
304,Situational Trading: Proven Option Strategy for any Scenario,200,udemy
305,Portfolio Management for CA / CS / CFA exams,20,udemy
306,Algorithmic Trading in MATLAB: WFAToolbox App GUI (Finance),20,udemy
307,Finding an Unlimited Amount of Investors,80,udemy
308,Bookkeeping Made Easy,70,udemy
309,BITCOIN VISUALLY. Part I.,50,udemy
310,Learn and Master the Basics of Finance,20,udemy
311,FOREX : LearnTo Trade the Improved ( Advanced ) Patterns,75,udemy
312,Mastering the Market : (Technical Analysis + Candlestick),90,udemy
313,Mastering Countertrend Trading : High Profit Trading Pattern,40,udemy
314,Exam 1 Review - Managerial Accounting (U of H),30,udemy
315,* An Integrated Approach to the Fundamentals of Accounting,200,udemy
316,Get to grips with the CFA calculator,20,udemy
317,Financial Model Fundamentals-Learn the Essential Skills,75,udemy
318,Forex: Economic News Trading,25,udemy
319,Analyze Real Estate Investments | Financial Modeling,20,udemy
320,Forex For Beginners - A Guide To Currency Trading,20,udemy
321,Raise Your Credit Score to 800 Or More....,50,udemy
322,Financial Management Budgeting Techniques,20,udemy
323,Forex Killing Divergence - How to trade with precision,20,udemy
324,Working Capital Management for CA / CFA / CPA Exams,25,udemy
325,Risk Analysis - Capital Budgeting for CA / CS / CFA exams,20,udemy
326,Corporate Finance 101: Financial Statement Analysis & Ratios,50,udemy
327,Mastering Futures Options for Beginners - Your Top 5 Plays!,200,udemy
328,"Professional Options Trading, Simplified",200,udemy
329,"Advanced Options Concepts - Probability, Greeks, Simulation",60,udemy
330,Accounting Basics - A Complete Study,180,udemy
331,Case Studies in Macro Economics,50,udemy
332,My Forex Strategy that win consistently over and over,200,udemy
333,Understand Banks & Financial Markets ,30,udemy
334,Stock Technical Analysis with Python,50,udemy
335,How to Become an Accountant from scratch!,40,udemy
336,How to invest in Gold,50,udemy
337,Automate Your Finances,20,udemy
338,MBA Accounting and Finance for Managers(Paper MS04 of IGNOU),150,udemy
339,Accounting Made Easy: A Quick Guide to Financial Accounting,95,udemy
340,Futures/Commodity Training (Basics),0,udemy
341,Cost Accounting Marginal Costing Theory and Practice,20,udemy
342,The Big Volatility Short: The Best Trade On Wall Street!,200,udemy
343,Master Finance in Three Hours,20,udemy
344,Learn Options on Futures for Hedging Options and Stocks,60,udemy
345,Option selling trading as income source. Beginners friendly,195,udemy
346,Introduction to Value Growth Investing,0,udemy
347,Become A Forex Trader - Forex trading like a professional,0,udemy
348,Hedge Fund Trading System,0,udemy
349,Bulletproof Personal Finance: Expert Asset Allocation,45,udemy
350,Financial Accounting: The Complete Introductory Crash Course,100,udemy
351,Learn About Trading Options from a real wallstreet trader,20,udemy
352,Forex Rate -Why it fluctuates -for CA / CMA / CS / CFA Exams,20,udemy
353,How to Build a Massive Stock Portfolio from Zero!,200,udemy
354,Introductory Forex Trading Course,0,udemy
355,Budgeting Hacks to Build Wealth!,0,udemy
356,Accounting and Finance for Bankers - A Comprehensive Study,180,udemy
357,Forex Prep Academy for Beginners-Real trades!,75,udemy
358,Accounting for Deferred Taxes (Professional Course Level),25,udemy
359,TRADING TRUTHS,50,udemy
360,The Binary Institute - Introductory Course in Binary Options,0,udemy
361,Forex Trading vs Option Trading,95,udemy
362,How to Invest in Stocks + Billionaire Investing Tips,40,udemy
363,Value Investing For Beginners,100,udemy
364,TRADING TACTICS,145,udemy
365,MQL4 Tutorial Bootcamp - Trading Robot Coding in Metatrader4,30,udemy
366,Ultimate Retirement: Build Your Own Dynamic Retirement Plan,50,udemy
367,build a solid foundation for trading options,20,udemy
368,Forex Scam: Avoid the scam today,20,udemy
369,Cost Accounting Crash Course,20,udemy
370,Option Trading for Rookies: Basic Option Strategies,95,udemy
371,Business Analysis:  Working with Use Cases,90,udemy
372,Learn to Raise the Funds You Need via Crowdfunding,20,udemy
373,Business finances,75,udemy
374,Financial Accounting - A Brief Introduction,0,udemy
375,Trading Economic Indicators - Complete Trading System,50,udemy
376,Foundation of Options Trading and Investing,20,udemy
377,Option Trading - How To Earn If You Can't Predict The Market,145,udemy
378,The Financial Analyst Skills Training (FAST) course 2017,100,udemy
379,Covered Calls - Powerful Income Strategy for Stock Traders,60,udemy
380,Accounting 1 Simplified for You,45,udemy
381,[Value Investing] Where White People Keep Their Money,200,udemy
382,How to Start Investing: Made Simple and Easy,200,udemy
383,Basics of Commerce A Complete Study,150,udemy
384,The Passive Investing Blueprint - Build Wealth Passively,200,udemy
385,7 Steps: Your Introduction to Trading,25,udemy
386,Forex - Elliott Wave Theory with Fibonacci. ,20,udemy
387,The Actuarial Profession: Basic Sciences and Principles,25,udemy
388,Investing in stocks: Avoid stock market loss,125,udemy
389,QuickBooks Online: Complete Guide & Certification tips,50,udemy
390,Build Financial Models & Value Companies The Easy Way,20,udemy
391,Adventure Capital: How to pay off debt ,20,udemy
392,Chart Patterns Trading Demystified,200,udemy
393,Financial Planning & Analysis: Building a Company's Budget,150,udemy
394,Simple things you must know before start FOREX (OFFER),200,udemy
