,name,institution
345,"Social Norms, Social Change I",Unicef
346,Excel Skills for Business: Intermediate II,Macquarie University
347,Aboriginal Worldviews and Education,University of Toronto
348,"Information Systems Auditing, Controls and Assurance",The Hong Kong University of Science and Technology
349,Six Sigma Principles,University System of Georgia
350,Business Writing,University of Colorado Boulder
351,Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Autodesk
352,Introduction to Typography,California Institute of the Arts
353,Customer Segmentation and Prospecting,Northwestern University
354,Claves para Gestionar Personas,IESE Business School
355,English for Journalism,University of Pennsylvania
356,How Things Work: An Introduction to Physics,University of Virginia
357,Business English: Networking,University of Washington
358,Summary Statistics in Public Health,Johns Hopkins University
359,The Changing Global Order,Universiteit Leiden
360,Global Energy and Climate Policy,University of London
361,El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho,Universidad Austral
362,Probability and Statistics: To p or not to p?,University of London
363,Gut Check: Exploring Your Microbiome,University of Colorado Boulder
364,Econometrics: Methods and Applications,Erasmus University Rotterdam
365,Разработка веб-сервисов на Go - основы языка,Moscow Institute of Physics and Technology
366,Mastering Data Analysis in Excel,Duke University
367,Basic Statistics,University of Amsterdam
368,"Capstone: Retrieving, Processing, and Visualizing Data with Python",University of Michigan
369,Design Thinking for the Greater Good: Innovation in the Social Sector,University of Virginia
370,Introduction to Portfolio Construction and Analysis with Python,EDHEC Business School
371,Data Analytics for Lean Six Sigma,University of Amsterdam
372,Refugees in the 21st Century,University of London
373,Building Containerized Applications on AWS,Amazon Web Services
374,Business Transformation with Google Cloud,Google Cloud
375,Version Control with Git,Atlassian
376,"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences",UNSW Sydney (The University of New South Wales)
377,Excel aplicado a los negocios (Nivel Avanzado),Universidad Austral
378,Introduction to Public Speaking,University of Washington
379,Building Conversational Experiences with Dialogflow,Google Cloud
380,Guitar for Beginners,Berklee College of Music
381,Managing Project Risks and Changes,"University of California, Irvine"
382,L'excellence opérationnelle en pratique,ESSEC Business School
383,Introduction to Cloud Computing,IBM
384,Sample-based Learning Methods,Alberta Machine Intelligence Institute
385,Functional Programming Principles in Scala,École Polytechnique Fédérale de Lausanne
386,Introduction to Blockchain Technologies,INSEAD
387,Introduction to Environmental Law and Policy,The University of North Carolina at Chapel Hill
388,"Cameras, Exposure, and Photography",Michigan State University
389,Democracia y decisiones públicas. Introducción al análisis de políticas públicas,Universitat Autònoma de Barcelona
390,Dentistry 101,University of Michigan
391,"Python Functions, Files, and Dictionaries",University of Michigan
392,Anticorrupción: Introducción a conceptos y perspectiva práctica,Universidad Nacional Autónoma de México
393,Positive Psychology: Applications and Interventions,University of Pennsylvania
394,Introduction to Embedded Systems Software and Development Environments,University of Colorado Boulder
395,Personal & Family Financial Planning,University of Florida
396,A Law Student's Toolkit,Yale University
397,Introducción a Data Science: Programación Estadística con R,Universidad Nacional Autónoma de México
398,"Cybersecurity Roles, Processes & Operating System Security",IBM
399,Computational Neuroscience,University of Washington
400,De-Mystifying Mindfulness,Universiteit Leiden
401,Smart Cities – Management of Smart Urban Infrastructures,École Polytechnique Fédérale de Lausanne
402,Getting Started with Go,"University of California, Irvine"
403,Introduction to Economic Theories,Erasmus University Rotterdam
404,Probabilistic Graphical Models 1: Representation,Stanford University
405,The Power of Microeconomics: Economic Principles in the Real World,"University of California, Irvine"
406,Introduction to Personal Branding,University of Virginia
407,Love as a Force for Social Justice,Stanford University
408,Mathematical Thinking in Computer Science,University of California San Diego
409,Introduction to Genetics and Evolution,Duke University
410,Основы программирования на Python,National Research University Higher School of Economics
411,Improving Communication Skills,University of Pennsylvania
412,"Introduction to Trading, Machine Learning & GCP",New York Institute of Finance
413,Python Programming: A Concise Introduction,Wesleyan University
414,"The Modern World, Part Two: Global History since 1910",University of Virginia
415,Understanding Plants - Part I: What a Plant Knows,Tel Aviv University
416,Excel Fundamentals for Data Analysis,Macquarie University
417,Finanzas personales,Universidad Nacional Autónoma de México
418,English Composition I,Duke University
419,Career 911: Your Future Job in Medicine and Healthcare,Northwestern University
420,Introduction to Self-Driving Cars,University of Toronto
421,Corporate & Commercial Law I: Contracts & Employment Law,University of Illinois at Urbana-Champaign
422,Blockchain Basics,University at Buffalo
423,Foundations of Business Strategy,University of Virginia
424,Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo
425,Stochastic processes,National Research University Higher School of Economics
